id;first_name;last_name;email;apogee;niveau;filere;enrollment_date
1;Monserrat;Bailey;Myrna_Gusikowski@gmail.com;lest;PermiereAnnee;SSI;2024-05-19
2;Alice;Weissnat;Keaton_Mante@gmail.com;including;DeusiemeAnnee;SSI;2024-05-18
3;Rahul;Zieme;Keshaun_Kuhn83@gmail.com;coolly now;DeusiemeAnnee;GL;2024-05-19
4;Cleveland;Hamill;Ed.Lueilwitz@hotmail.com;when;DeusiemeAnnee;BI;2024-05-19
5;Eileen;Hodkiewicz;Emmet_Armstrong@yahoo.com;ack slang;DeusiemeAnnee;SSE;2024-05-19
6;Adolph;Huel;Elsa_Gibson4@gmail.com;on hopelessly backbone;DeusiemeAnnee;GD;2024-05-19
7;Harry;Schneider;Wilton.Rempel-Hills@yahoo.com;signify;PermiereAnnee;IIA;2024-05-19
8;Willy;Kuvalis;Horacio36@gmail.com;that;DeusiemeAnnee;SSI;2024-05-18
9;Cordie;Lindgren;Peggie.Rohan42@hotmail.com;basketball;DeusiemeAnnee;SSI;2024-05-19
10;Noble;Lebsack;Brennan_Lesch1@hotmail.com;peen optimist;DeusiemeAnnee;IDF;2024-05-18
