id;first_name;last_name;email;phone_number;hire_date
1;Hank;Swift;Malcolm93@yahoo.com;smoggy;2024-05-19
2;Cornelius;Murazik;Felton_Hammes@hotmail.com;ah runner;2024-05-19
3;Johathan;Conroy;Anika.Morissette-Nicolas@yahoo.com;billion officially barring;2024-05-19
4;Emil;Schmeler;Karlie.King19@hotmail.com;so or unless;2024-05-19
5;Moises;Dare;Shaun77@gmail.com;for;2024-05-18
6;Demario;Deckow;Gardner_Cormier78@yahoo.com;what;2024-05-19
7;Ima;Lemke;Alysa.Corwin64@hotmail.com;despite mad;2024-05-19
8;Norris;Bartoletti;Jamar10@yahoo.com;ashtray;2024-05-19
9;Katelynn;McCullough;Trever_Mayer@yahoo.com;chomp per brr;2024-05-18
10;Christop;Miller;Stewart_Rau71@yahoo.com;moralize sin;2024-05-19
